event_id,sport_key,home_team,away_team,commence_time,completed,last_update,score_name,score_value
6856b3123aaf14ce6c63669005568ba1,soccer_france_ligue_one,RC Lens,Toulouse,2026-04-17T18:45:00Z,False,,,
fe782261cb033b4af93a5093bacae6ac,soccer_france_ligue_one,Lorient,Marseille,2026-04-18T15:00:00Z,False,,,
e76b1c707308d3a64f6d7e5591ec9414,soccer_france_ligue_one,Angers,Le Havre,2026-04-18T17:00:00Z,False,,,
f0d901eda17f84d9a8c73c28a170b573,soccer_france_ligue_one,Lille,Nice,2026-04-18T19:05:00Z,False,,,
b8ea03916dfa629d1f7e3923a583c03c,soccer_france_ligue_one,AS Monaco,Auxerre,2026-04-19T13:00:00Z,False,,,
44f3850c674a5c86de98512df1f7b33f,soccer_france_ligue_one,Nantes,Brest,2026-04-19T15:15:00Z,False,,,
db35308a389381716f2841fb7a361daf,soccer_france_ligue_one,Metz,Paris FC,2026-04-19T15:15:00Z,False,,,
9e279d3e6e661791862286e452987aef,soccer_france_ligue_one,Strasbourg,Rennes,2026-04-19T15:15:00Z,False,,,
59534dfb4696032a00bfc20754769c2a,soccer_france_ligue_one,Paris Saint Germain,Lyon,2026-04-19T18:45:00Z,False,,,
4a59d2e85b04c8fede5bfe10e8806fc6,soccer_france_ligue_one,Paris Saint Germain,Nantes,2026-04-22T17:00:00Z,False,,,
3fc165f9b4531c59263d965cbfebd6b7,soccer_france_ligue_one,Brest,RC Lens,2026-04-24T18:45:00Z,False,,,
e3b8a290a7d7ba5d8edabb5db6234117,soccer_france_ligue_one,Lyon,Auxerre,2026-04-25T13:00:00Z,False,,,
e2bdca0a84d61af8f76cdfe547d532a0,soccer_france_ligue_one,Angers,Paris Saint Germain,2026-04-25T17:00:00Z,False,,,
93e8cd6fa52b18f41be1ac82f43ab87d,soccer_france_ligue_one,Toulouse,AS Monaco,2026-04-25T19:05:00Z,False,,,
b8ca9d7eec80332d96b3ee8287c53b97,soccer_france_ligue_one,Lorient,Strasbourg,2026-04-26T13:00:00Z,False,,,
6575e2a2e9cba1a58157427fe0e50ea1,soccer_france_ligue_one,Le Havre,Metz,2026-04-26T15:15:00Z,False,,,
ca8835d47ae84387004725728c4f07c6,soccer_france_ligue_one,Paris FC,Lille,2026-04-26T15:15:00Z,False,,,
6ebae1fd21f8e4d2994714478848fb51,soccer_france_ligue_one,Rennes,Nantes,2026-04-26T15:15:00Z,False,,,
9cde4ad2722581146fc4b359a6b36314,soccer_france_ligue_one,Marseille,Nice,2026-04-26T18:45:00Z,False,,,
